2024-11-07 11:56:09	56d19dba-6b76-4a4f-8365-8ab3c7ee58b1	GET/tundefined	/
2024-11-07 11:56:09	02bb956c-02a1-40f2-bd7e-8e4528e1a0e0	GET/tundefined	/css/style.css
2024-11-07 11:57:00	ebdd1400-ab41-48a4-bd2e-fef9d987c15a	GET	undefined	/
2024-11-07 11:57:00	d4ea35db-8fd5-4423-92da-abd05f2fe87f	GET	undefined	/css/style.css
2024-11-07 14:21:53	07802aa6-2e51-48f0-8864-c652bc0cef6c	GET	undefined	/
2024-11-07 14:21:53	dadca895-5bd7-49f9-b922-935723bd84f4	GET	undefined	/css/style.css
2024-11-07 14:22:11	146222c3-c0fa-407f-bb6f-abb7072642b0	GET	undefined	/
2024-11-07 14:22:11	63b545d3-d2d7-4260-9d62-cd05bf6dd565	GET	undefined	/css/style.css
2024-11-07 14:24:43	ea829fed-3c0b-49a7-8ee5-ae02e9f82561	GET	undefined	/
2024-11-07 14:24:43	e12378c7-df49-405b-9ef0-c62a8dca94ee	GET	undefined	/css/style.css
2024-11-07 14:27:48	43d9ae53-afb2-493f-883e-bcd2571e9950	OPTIONS	https://www.google.com	/
2024-11-07 14:27:48	2b5d329a-5904-430c-949f-8a0e695c00c2	GET	https://www.google.com	/
2024-11-07 14:32:08	fa40186c-25cc-4a88-9584-a577c6280688	OPTIONS	https://www.google.com	/
2024-11-07 14:32:08	a1104816-73f8-4a91-b20d-fe10844aed84	GET	https://www.google.com	/
2024-11-07 14:33:26	8b247393-8f98-4063-8324-b3ce89bd60ea	OPTIONS	https://www.google.com	/
2024-11-07 14:33:26	32c36673-35b5-4bd9-9978-8c905b5733ff	GET	https://www.google.com	/
2024-11-07 14:37:19	5246390e-4fe1-499d-b00f-ad6fb1696be6	OPTIONS	https://www.google.com	/
2024-11-07 14:37:19	f8b7d435-eda3-454b-be46-3ab115972a1f	GET	https://www.google.com	/
2024-11-07 14:37:29	63a97064-65bd-4792-b0e9-152c94cf3be6	OPTIONS	https://www.google.com	/
